codigo,descricao,estoque,unidade,custo,venda,total_custo,total_venda,lucro_percentual
006939,11765 SILENCIOSO TRAS. SIENA 1.0 8V FIRE,2.0,PC,124.84,199.744,249.68,399.488,60.0
003859,11766 SILENCIOSO TRAS. SIENA 1.4 FLEX,3.0,PC,144.61,231.376,433.83,694.128,60.0
003720,11768 TUBO INTERMEDIARIO STRADA 1.4,4.0,PC,66.7,106.72,266.8,426.88,60.0
008351,11770 SILENCIOSO TRAS. SIENA 1.6 16V,1.0,PC,178.83,286.128,178.83,286.128,60.0
006921,11771 SILENCIOSO TRAS. PALIO 1.6/1.8 16V,2.0,PC,136.55,218.48,273.1,436.96,60.0
007378,11773 ABAFADOR INT. UNO MILLE FIRE FLEX,2.0,PC,84.53,135.248,169.06,270.496,60.0
009621,11774 SILENCIOSO INT. IDEA 1.4 8V FIRE,1.0,PC,125.66,201.056,125.66,201.056,60.0
009343,11775 SILENCIOSO TRAS. IDEA 1.4 8V FIRE,2.0,PC,130.0,208.0,260.0,416.0,60.0
008850,11778 SILENCIOSO INT. UNO MILLE MPI 8V,1.0,PC,78.48,121.644,78.48,121.644,55.0
006805,11779 SILENCIOSO TRAS. UNO,3.0,PC,67.87,108.592,203.61,325.776,60.0
010031,11782 SILENCIOSO INT. JUMPER/BOXER,1.0,PC,139.15,222.64,139.15,222.64,60.0
008157,11783 SILENCIOSO TRAS. JUMPER/BOXER,1.0,PC,114.7,183.52,114.7,183.52,60.0
003881,11786 SILENCIOSO TRAS. UNO ECONOMY 1.0,1.0,PC,90.94,155.479,90.94,155.479,70.969
007336,11787 SILENCIOSO TRAS. UNO MILLE 90/2001,0.0,PC,84.67,135.472,0.0,0.0,60.0
008681,11805 TUBO INT. ANTERIOR UNO,0.0,PC,35.63,55.227,0.0,0.0,55.0
006925,11808 SILENCIOSO INT. IDEA/IDEA,3.0,PC,135.0,216.0,405.0,648.0,60.0
006007,11809 SILENCIOSO TRAS. IDEA 1.8 E,1.0,PC,146.74,234.784,146.74,234.784,60.0
008262,11811 SILENCIOSO INT. DOBLO/DOBLO,1.0,PC,120.63,193.008,120.63,193.008,60.0
008158,11812 ABAFADOR INT. FIORINO 1.3 8V FIRE,1.0,PC,89.73,143.568,89.73,143.568,60.0
007708,11813 SILENCIOSO TRAS. FIORINO 1.3 8V,0.0,PC,110.54,176.864,0.0,0.0,60.0
007761,11817 SILENCIOSO TRAS. PUNTO 1.4 8V FIRE,2.0,PC,152.16,243.456,304.32,486.912,60.0
008682,11826 SILENCIOSO INT. PUNTO 1.8 8V FLEX,2.0,PC,130.0,188.5,260.0,377.001,45.0
004655,11827 SILENCIOSO TRAS. PUNTO 1.8 8V,1.0,PC,145.75,233.2,145.75,233.2,60.0
006006,11829 SILENCIOSO TRAS. PALIO WEEKEND,2.0,PC,123.28,197.248,246.56,394.496,60.0
009855,11835 SILENCIOSO INT. GRAND SIENA 1.4,1.0,PC,88.95,142.32,88.95,142.32,60.0
006562,11843 SILENCIOSO INT. PUNTO 1.4 8V FIRE,4.0,PC,102.74,164.384,410.96,657.536,60.0
007762,11844 SILENCIOSO TRAS. PUNTO 1.4 8V FIRE,1.0,PC,146.67,234.672,146.67,234.672,60.0
